"id","bigGat","shop_discount","real_discount"
"l-4563342","Одяг",50,0
"l-4563371","Одяг",57,0
"l-4563372","Одяг",57,0
"l-4563375","Одяг",57,0
"l-4563377","Одяг",57,0
"l-4563395","Одяг",57,0
"l-4563410","Одяг",57,0
"l-4563420","Одяг",57,0
"l-4563427","Одяг",57,0
"l-4564124","Одяг",57,0
"l-4564246","Одяг",50,0
"l-4566515","Одяг",57,0
"l-4566516","Одяг",57,0
"l-4566517","Одяг",57,0
"l-4566518","Одяг",57,0
"l-4566520","Одяг",57,0
"l-4566693","Одяг",57,0
"l-4566694","Одяг",57,0
"l-4574953","Одяг",74,4
"l-4575469","Одяг",57,0
"l-4575473","Одяг",57,0
"l-4575604","Одяг",57,0
"l-4575605","Одяг",57,0
"l-4575606","Одяг",57,0
"l-4576631","Одяг",54,0
"l-4579706","Одяг",81,-1
"l-4579707","Одяг",81,-2
"l-4580478","Одяг",57,7
"l-4580486","Одяг",56,7
"l-4581622","Одяг",50,0
"l-4587977","Одяг",81,1
"l-4587979","Одяг",81,33
"l-4590596","Одяг",59,-1
"l-4592264","Одяг",81,-1
"l-4593223","Одяг",66,32
"l-4593226","Одяг",66,32
"l-4593229","Одяг",66,32
"l-4593234","Одяг",65,29
"l-4593244","Одяг",65,30
"l-4593251","Одяг",66,32
"l-4593258","Одяг",56,12
"l-4593432","Одяг",25,0
"l-4593563","Сумки",72,11
"l-4593564","Сумки",72,11
"l-4593565","Сумки",72,11
"l-4593566","Сумки",72,11
"l-4593567","Сумки",72,10
"l-4593568","Сумки",72,10
"l-4593569","Сумки",72,10
"l-4593570","Сумки",72,10
"l-4593571","Сумки",72,10
"l-4593573","Сумки",72,10
"l-4593574","Сумки",72,10
"l-4593575","Сумки",72,10
"l-4593576","Сумки",72,10
"l-4593577","Сумки",72,10
"l-4593578","Сумки",72,10
"l-4593583","Сумки",72,11
"l-4593584","Сумки",72,10
"l-4593585","Сумки",72,10
"l-4593586","Сумки",72,11
"l-4593587","Сумки",72,11
"l-4593588","Сумки",72,10
"l-4593592","Сумки",72,4
"l-4593593","Сумки",72,11
"l-4593594","Сумки",72,11
"l-4593596","Сумки",72,10
"l-4593597","Сумки",72,10
"l-4593599","Сумки",72,10
"l-4593600","Сумки",72,10
"l-4593601","Сумки",72,7
"l-4593603","Сумки",72,10
"l-4593605","Сумки",72,10
"l-4593606","Сумки",72,10
"l-4593607","Сумки",72,10
"l-4593611","Сумки",72,7
"l-4593612","Сумки",72,7
"l-4593613","Сумки",72,7
"l-4599627","Одяг",71,19
"l-4599630","Одяг",71,19
"l-4599692","Одяг",54,0
"l-4600461","Одяг",54,0
