"id","bigGat","shop_discount","real_discount"
"c-1005403","Побутова техніка",17,17
"c-1006453","Побутова техніка",9,2
"c-1006454","Побутова техніка",9,2
"c-1006457","Побутова техніка",9,-3
"c-1008446","Телефони, аксесуари",33,27
"c-1008447","Телефони, аксесуари",33,28
"c-1012408","Побутова техніка",20,9
"c-1012658","Побутова техніка",15,14
"c-1014707","Телефони, аксесуари",29,22
"c-1014709","Телефони, аксесуари",29,23
"c-1015530","Побутова техніка",10,3
"c-1017828","Побутова техніка",41,27
"c-1018323","Побутова техніка",10,6
"c-1019156","Побутова техніка",20,18
"c-1020455","Побутова техніка",14,-11
"c-1020567","Побутова техніка",20,20
"c-1023095","Побутова техніка",20,8
"c-1023111","Побутова техніка",23,0
"c-1023116","Побутова техніка",23,19
"c-1023117","Побутова техніка",23,19
"c-1028411","Побутова техніка",30,28
"c-1032058","Телефони, аксесуари",27,0
"c-1033490","Побутова техніка",8,4
"c-1034138","Побутова техніка",15,14
"c-1037205","Побутова техніка",10,9
"c-1037493","Побутова техніка",15,8
"c-1037962","Побутова техніка",45,44
"c-1041876","Побутова техніка",15,12
"c-1042448","Побутова техніка",15,13
"c-1045439","Побутова техніка",24,18
"c-1055794","Побутова техніка",6,4
"c-1056384","Побутова техніка",7,6
"c-1060633","Ноутбуки, планшети",6,8
"c-1060641","Ноутбуки, планшети",7,9
"c-1062069","Побутова техніка",18,14
"c-1062232","Побутова техніка",10,9
"c-1062512","Побутова техніка",22,20
"c-1062827","Побутова техніка",15,5
"c-1064115","Телефони, аксесуари",27,17
"c-1064299","Ноутбуки, планшети",14,14
"c-1065648","Побутова техніка",15,13
"c-1068107","Побутова техніка",30,24
"c-1070110","Побутова техніка",8,8
"c-1076029","Побутова техніка",7,4
"c-1076031","Побутова техніка",7,3
"c-1076035","Побутова техніка",7,4
"c-1077513","Ноутбуки, планшети",11,10
"c-1081942","Побутова техніка",15,13
"c-1082005","Побутова техніка",20,-4
"c-1082006","Побутова техніка",22,-3
"c-1082008","Побутова техніка",21,4
"c-1082010","Побутова техніка",31,28
"c-1082011","Побутова техніка",29,14
"c-1082590","Побутова техніка",35,35
"c-1083548","Побутова техніка",14,9
"c-1083828","Телевізори",15,7
"c-1084892","Побутова техніка",15,10
"c-1089192","Побутова техніка",25,21
"c-1089831","Побутова техніка",15,12
"c-1089836","Побутова техніка",15,12
"c-1089838","Побутова техніка",15,14
"c-1090637","Ноутбуки, планшети",18,17
"c-1092478","Ноутбуки, планшети",18,14
"c-1092479","Ноутбуки, планшети",18,17
"c-1094711","Побутова техніка",12,10
"c-1094881","Побутова техніка",26,23
"c-1094882","Побутова техніка",9,5
"c-1095178","Побутова техніка",20,20
"c-1100540","Побутова техніка",28,28
"c-1100654","Побутова техніка",5,6
"c-1100710","Телефони, аксесуари",19,16
"c-1100712","Телефони, аксесуари",19,16
"c-1100713","Телефони, аксесуари",19,16
"c-1103484","Телефони, аксесуари",14,14
"c-1103485","Телефони, аксесуари",14,14
"c-1103486","Телефони, аксесуари",14,14
"c-1103487","Телефони, аксесуари",14,14
"c-1103785","Побутова техніка",15,13
"c-1104145","Побутова техніка",46,46
"c-1104167","Побутова техніка",14,14
"c-1105508","Побутова техніка",10,2
"c-1105980","Побутова техніка",46,46
"c-1106908","Телефони, аксесуари",17,20
"c-1106909","Телефони, аксесуари",17,20
"c-1107555","Побутова техніка",17,16
"c-1109461","Побутова техніка",18,13
"c-1112721","Побутова техніка",13,12
"c-1114714","Побутова техніка",15,13
"c-1115354","Побутова техніка",10,5
"c-1116265","Побутова техніка",20,-8
"c-1116603","Побутова техніка",29,23
"c-1117156","Побутова техніка",15,9
"c-1117328","Побутова техніка",19,18
"c-1118607","Побутова техніка",30,7
"c-1118609","Побутова техніка",23,12
"c-1118703","Побутова техніка",10,13
"c-1119446","Побутова техніка",15,10
"c-1122790","Побутова техніка",15,14
"c-1125139","Побутова техніка",11,9
"c-1125140","Побутова техніка",11,10
"c-1125141","Побутова техніка",10,10
"c-1125146","Побутова техніка",11,7
"c-1126141","Побутова техніка",30,17
"c-1126891","Телефони, аксесуари",34,28
"c-1128528","Побутова техніка",16,13
"c-1134609","Побутова техніка",15,13
"c-1136291","Побутова техніка",20,20
"c-1138244","Побутова техніка",16,10
"c-1138248","Побутова техніка",13,9
"c-1142015","Побутова техніка",30,16
"c-1143057","Телефони, аксесуари",17,16
"c-1143869","Побутова техніка",10,10
"c-1145332","Побутова техніка",10,7
"c-1146286","Ноутбуки, планшети",6,0
"c-1147512","Телефони, аксесуари",20,1
"c-1147543","Телефони, аксесуари",20,18
"c-1148323","Побутова техніка",10,7
"c-1148326","Побутова техніка",7,9
"c-1148327","Побутова техніка",10,8
"c-1148334","Побутова техніка",34,14
"c-1148339","Побутова техніка",23,2
"c-1151294","Побутова техніка",32,23
"c-1153238","Телефони, аксесуари",20,19
"c-1153239","Телефони, аксесуари",20,18
"c-1155160","Побутова техніка",15,9
"c-1157158","Побутова техніка",15,15
"c-1164453","Побутова техніка",24,16
"c-1164566","Побутова техніка",22,19
"c-1164567","Побутова техніка",16,11
"c-1165751","Побутова техніка",8,5
"c-1166528","Телефони, аксесуари",21,18
"c-1166529","Телефони, аксесуари",21,17
"c-1166530","Телефони, аксесуари",21,18
"c-1167114","Телевізори",40,30
"c-1167496","Телевізори",40,15
"c-1169220","Телефони, аксесуари",11,20
"c-1169221","Телефони, аксесуари",11,20
"c-1170973","Телевізори",14,15
"c-1172480","Побутова техніка",17,17
"c-1172704","Побутова техніка",10,6
"c-1172755","Побутова техніка",13,10
"c-1173037","Ноутбуки, планшети",7,0
"c-1174520","Телевізори",14,19
"c-1174522","Телевізори",14,19
"c-1174525","Телевізори",12,11
"c-1174526","Телевізори",12,13
"c-1174537","Телевізори",5,12
"c-1174544","Телевізори",15,15
"c-1174548","Телевізори",22,27
"c-1174719","Побутова техніка",31,30
"c-1175067","Побутова техніка",20,13
"c-1176824","Побутова техніка",23,16
"c-1176830","Побутова техніка",15,13
"c-1176921","Побутова техніка",15,15
"c-1177187","Побутова техніка",17,14
"c-1177532","Побутова техніка",10,7
"c-1178784","Побутова техніка",17,14
"c-1179008","Ноутбуки, планшети",7,0
"c-1179334","Побутова техніка",15,14
"c-1179622","Побутова техніка",15,12
"c-1180534","Побутова техніка",8,8
"c-1181029","Побутова техніка",17,17
"c-1182593","Телефони, аксесуари",11,20
"c-1182612","Телевізори",20,27
"c-1182613","Телевізори",20,27
"c-1182630","Телевізори",4,0
"c-1182637","Телевізори",40,32
"c-1182711","Телефони, аксесуари",20,17
"c-1182712","Телефони, аксесуари",20,17
"c-1182713","Телефони, аксесуари",20,20
"c-1182790","Побутова техніка",25,25
"c-1182813","Побутова техніка",40,33
"c-1184322","Побутова техніка",18,20
"c-1184699","Побутова техніка",20,12
"c-1188644","Побутова техніка",27,26
"c-1189640","Побутова техніка",14,1
"c-1189836","Побутова техніка",10,10
"c-1190258","Ноутбуки, планшети",10,7
"c-1190261","Ноутбуки, планшети",8,7
"c-1190262","Ноутбуки, планшети",8,7
"c-1190263","Ноутбуки, планшети",13,8
"c-1190264","Ноутбуки, планшети",13,7
"c-1190498","Побутова техніка",22,16
"c-1190501","Побутова техніка",19,12
"c-1190502","Побутова техніка",23,16
"c-1192154","Ноутбуки, планшети",7,5
"c-1192886","Побутова техніка",10,10
"c-1193808","Ноутбуки, планшети",13,11
"c-1193809","Ноутбуки, планшети",13,11
"c-1194109","Побутова техніка",17,15
"c-1194110","Побутова техніка",22,15
"c-1194488","Побутова техніка",30,36
"c-1194809","Побутова техніка",20,18
"c-1199685","Побутова техніка",10,9
"c-1199687","Побутова техніка",20,14
"c-1200978","Побутова техніка",25,22
"c-1204356","Побутова техніка",15,13
"c-1205117","Побутова техніка",20,16
"c-1208047","Побутова техніка",10,7
"c-1208048","Побутова техніка",10,9
"c-1209216","Побутова техніка",15,12
"c-1211017","Телевізори",50,35
"c-1214003","Побутова техніка",16,15
"c-1215989","Побутова техніка",13,11
"c-1216590","Телефони, аксесуари",20,21
"c-1216591","Телефони, аксесуари",20,21
"c-1216885","Ноутбуки, планшети",10,6
"c-1216913","Ноутбуки, планшети",10,6
"c-1220235","Побутова техніка",23,21
"c-1222317","Побутова техніка",18,18
"c-1223402","Ноутбуки, планшети",9,2
"c-1223404","Ноутбуки, планшети",9,4
"c-1223405","Ноутбуки, планшети",7,6
"c-1224076","Побутова техніка",15,14
"c-1226001","Побутова техніка",11,9
"c-1226157","Телефони, аксесуари",21,23
"c-1226158","Телефони, аксесуари",21,23
"c-1228641","Побутова техніка",20,20
"c-1229449","Телефони, аксесуари",9,13
"c-1229450","Телефони, аксесуари",9,13
"c-1229996","Телевізори",20,13
"c-1231815","Побутова техніка",10,5
"c-1231970","Побутова техніка",15,14
"c-1232047","Побутова техніка",30,21
"c-1233812","Телефони, аксесуари",34,27
"c-1235730","Телефони, аксесуари",20,24
"c-1235731","Телефони, аксесуари",20,24
"c-1235733","Телефони, аксесуари",20,24
"c-1235734","Телефони, аксесуари",18,25
"c-1235735","Телефони, аксесуари",18,25
"c-1235736","Телефони, аксесуари",18,24
"c-1238311","Побутова техніка",28,27
"c-1240334","Телевізори",5,2
"c-1240348","Побутова техніка",15,0
"c-1240478","Побутова техніка",18,11
"c-1240703","Побутова техніка",19,17
"c-1240985","Побутова техніка",10,7
"c-1240987","Побутова техніка",21,17
"c-1243172","Побутова техніка",21,18
"c-1243897","Побутова техніка",15,11
"c-1246946","Ноутбуки, планшети",14,22
"c-1247590","Побутова техніка",26,25
"c-1248615","Побутова техніка",23,23
"c-1249803","Побутова техніка",29,5
"c-1250896","Ноутбуки, планшети",6,-1
"c-1252746","Ноутбуки, планшети",8,-2
"c-1252818","Ноутбуки, планшети",11,7
"c-1253247","Ноутбуки, планшети",20,6
"c-1253251","Ноутбуки, планшети",7,-5
"c-1253928","Побутова техніка",27,27
"c-1254194","Побутова техніка",10,8
"c-1254448","Побутова техніка",15,14
"c-1255914","Побутова техніка",25,-5
"c-1256360","Ноутбуки, планшети",13,13
"c-1256361","Ноутбуки, планшети",13,13
"c-1259202","Ноутбуки, планшети",17,9
"c-1259466","Побутова техніка",25,11
"c-1260763","Побутова техніка",15,14
"c-1261783","Ноутбуки, планшети",10,6
"c-1262042","Телевізори",11,9
"c-1262128","Побутова техніка",20,15
"c-1262230","Побутова техніка",18,14
"c-1262426","Телефони, аксесуари",20,22
"c-1262651","Ноутбуки, планшети",7,-2
"c-1262656","Ноутбуки, планшети",7,-3
"c-1265642","Побутова техніка",9,4
"c-1269937","Ноутбуки, планшети",4,-11
"c-1270407","Телефони, аксесуари",20,17
"c-1270409","Телефони, аксесуари",20,15
"c-1271171","Телевізори",15,8
"c-1272021","Ноутбуки, планшети",20,22
"c-1273015","Побутова техніка",38,30
"c-1276080","Телевізори",14,0
"c-1276082","Телевізори",25,13
"c-1277939","Побутова техніка",21,17
"c-1277940","Побутова техніка",9,5
"c-1278903","Побутова техніка",17,8
"c-1279072","Побутова техніка",17,14
"c-1281122","Телефони, аксесуари",4,15
"c-1281123","Телефони, аксесуари",4,15
"c-1281142","Побутова техніка",10,8
"c-1281143","Побутова техніка",10,8
"c-1281170","Побутова техніка",20,15
"c-1281647","Ноутбуки, планшети",10,7
"c-1281723","Побутова техніка",30,28
"c-1282170","Ноутбуки, планшети",8,-3
"c-1283471","Побутова техніка",28,17
"c-1283931","Побутова техніка",15,13
"c-1283967","Ноутбуки, планшети",10,9
"c-1284091","Побутова техніка",20,18
"c-1284099","Побутова техніка",9,6
"c-1284541","Побутова техніка",25,17
"c-1284843","Побутова техніка",21,21
"c-1284844","Побутова техніка",21,21
"c-1284874","Побутова техніка",20,16
"c-1284886","Побутова техніка",20,7
"c-1285922","Телевізори",14,13
"c-1286784","Побутова техніка",15,12
"c-1286934","Побутова техніка",13,5
"c-1289304","Телевізори",18,12
"c-1290288","Телевізори",40,27
"c-1290289","Телевізори",22,10
"c-1291055","Телефони, аксесуари",11,21
"c-1291408","Побутова техніка",25,25
"c-1292354","Ноутбуки, планшети",20,15
"c-1293013","Побутова техніка",16,15
"c-1297083","Побутова техніка",18,18
"c-1297194","Ноутбуки, планшети",5,-5
"c-1298205","Побутова техніка",19,18
"c-1299370","Побутова техніка",22,22
"c-1300242","Побутова техніка",20,15
"c-1300379","Побутова техніка",18,9
"c-1301214","Побутова техніка",14,0
"c-1303150","Ноутбуки, планшети",10,6
"c-1303333","Побутова техніка",8,5
"c-1303335","Побутова техніка",15,14
"c-1304001","Побутова техніка",20,18
"c-1304510","Телефони, аксесуари",5,19
"c-1304512","Телефони, аксесуари",5,19
"c-1304514","Телефони, аксесуари",4,16
"c-1305825","Ноутбуки, планшети",6,0
"c-1306578","Телевізори",17,15
"c-1306581","Телевізори",19,20
"c-1306596","Телевізори",19,19
"c-1306597","Телевізори",7,5
"c-1306600","Телевізори",24,18
"c-1306601","Телевізори",24,19
"c-1306610","Телевізори",17,21
"c-1308634","Телефони, аксесуари",20,19
"c-1308688","Побутова техніка",16,7
"c-1308689","Побутова техніка",16,2
"c-1308997","Побутова техніка",15,14
"c-1308999","Побутова техніка",20,18
"c-1309057","Телефони, аксесуари",10,24
"c-1309059","Телефони, аксесуари",2,17
"c-1309061","Телефони, аксесуари",2,17
"c-1309062","Телефони, аксесуари",27,35
"c-1309064","Телефони, аксесуари",18,27
"c-1309067","Телефони, аксесуари",10,19
"c-1309068","Телефони, аксесуари",1,11
"c-1309282","Ноутбуки, планшети",13,10
"c-1309286","Ноутбуки, планшети",13,10
"c-1309287","Ноутбуки, планшети",13,10
"c-1309347","Телефони, аксесуари",14,27
"c-1309383","Побутова техніка",28,19
"c-1309899","Побутова техніка",18,21
"c-1310817","Побутова техніка",15,15
"c-1310818","Побутова техніка",15,15
"c-1310819","Побутова техніка",15,15
"c-1310854","Ноутбуки, планшети",5,0
"c-1311111","Ноутбуки, планшети",13,4
"c-1312224","Побутова техніка",10,8
"c-1312237","Побутова техніка",15,13
"c-1315175","Побутова техніка",18,17
"c-1315825","Побутова техніка",22,11
"c-1317621","Побутова техніка",15,15
"c-1317622","Побутова техніка",15,15
"c-1317623","Побутова техніка",15,15
"c-1318004","Побутова техніка",20,2
"c-1318007","Побутова техніка",15,11
"c-1318016","Ноутбуки, планшети",7,0
"c-1318495","Побутова техніка",10,12
"c-1318630","Побутова техніка",15,4
"c-1318632","Побутова техніка",16,7
"c-1319884","Побутова техніка",15,14
"c-1320079","Ноутбуки, планшети",18,10
"c-1320255","Побутова техніка",15,13
"c-1320256","Побутова техніка",13,8
"c-1320257","Побутова техніка",19,17
"c-1320426","Телевізори",7,5
"c-1320455","Телевізори",25,28
"c-1320474","Телевізори",23,1
"c-1320478","Телевізори",19,14
"c-1320653","Побутова техніка",20,8
"c-1320691","Побутова техніка",6,1
"c-1321472","Ноутбуки, планшети",14,10
"c-1321477","Ноутбуки, планшети",14,10
"c-1322573","Телефони, аксесуари",15,15
"c-1322574","Телефони, аксесуари",10,10
"c-1322622","Побутова техніка",15,15
"c-1323136","Телевізори",13,13
"c-1323138","Телевізори",8,8
"c-1323139","Телевізори",7,7
"c-1323140","Телевізори",7,7
"c-1323146","Телевізори",21,24
"c-1323147","Телевізори",21,23
"c-1323148","Телевізори",10,12
"c-1323151","Телевізори",10,12
"c-1323156","Телевізори",12,10
"c-1323234","Телефони, аксесуари",17,21
"c-1323235","Телефони, аксесуари",17,21
"c-1323236","Телефони, аксесуари",17,21
"c-1323243","Телефони, аксесуари",13,15
"c-1323244","Телефони, аксесуари",13,15
"c-1323245","Телефони, аксесуари",13,15
"c-1323612","Побутова техніка",20,4
"c-1323636","Телевізори",15,27
"c-1323641","Телевізори",8,7
"c-1323647","Телевізори",30,38
"c-1324272","Побутова техніка",17,3
"c-1325049","Ноутбуки, планшети",5,-9
"c-1325484","Побутова техніка",15,11
"c-1325544","Телефони, аксесуари",21,20
"c-1325575","Побутова техніка",15,9
"c-1325579","Побутова техніка",28,22
"c-1326665","Побутова техніка",10,10
"c-1326673","Побутова техніка",10,10
"c-1326681","Побутова техніка",10,10
"c-1327363","Побутова техніка",10,31
"c-1327415","Ноутбуки, планшети",8,-1
"c-1328692","Телефони, аксесуари",10,12
"c-1328693","Телефони, аксесуари",4,6
"c-1328694","Телефони, аксесуари",10,16
"c-1328696","Телефони, аксесуари",4,11
"c-1328701","Телефони, аксесуари",7,12
"c-1328725","Телевізори",32,27
"c-1329428","Побутова техніка",10,7
"c-1329430","Побутова техніка",10,7
"c-1329431","Побутова техніка",10,7
"c-1329993","Телевізори",11,0
"c-1330126","Телефони, аксесуари",23,21
"c-1331123","Побутова техніка",15,15
"c-1331169","Побутова техніка",18,18
"c-1331596","Телефони, аксесуари",7,9
"c-1331597","Телефони, аксесуари",10,12
"c-1331652","Побутова техніка",15,8
"c-1331756","Побутова техніка",35,33
"c-1331972","Телефони, аксесуари",23,23
"c-1331975","Телефони, аксесуари",6,10
"c-1332279","Побутова техніка",10,7
"c-1333355","Телефони, аксесуари",22,18
"c-1333356","Телефони, аксесуари",22,18
"c-1333365","Телефони, аксесуари",25,21
"c-1333366","Телефони, аксесуари",25,21
"c-1333369","Телефони, аксесуари",21,20
"c-1333936","Телевізори",10,11
"c-1333938","Телевізори",10,11
"c-1335817","Телефони, аксесуари",23,18
"c-1337767","Телефони, аксесуари",23,18
"c-1338101","Побутова техніка",12,6
"c-1338813","Телефони, аксесуари",33,34
"c-1338814","Телефони, аксесуари",33,34
"c-1339191","Телефони, аксесуари",6,10
"c-1339508","Побутова техніка",22,8
"c-1339535","Побутова техніка",38,34
"c-1340347","Телефони, аксесуари",23,15
"c-1340550","Побутова техніка",15,15
"c-1340832","Телевізори",19,20
"c-1342500","Побутова техніка",16,14
"c-1342687","Телефони, аксесуари",13,19
"c-1342821","Ноутбуки, планшети",6,0
"c-1343461","Ноутбуки, планшети",15,2
"c-1343673","Ноутбуки, планшети",8,0
"c-1344969","Телевізори",17,19
"c-1344972","Телевізори",27,26
"c-1345869","Побутова техніка",25,28
"c-1347035","Ноутбуки, планшети",17,14
"c-1347916","Побутова техніка",10,6
"c-1347969","Телефони, аксесуари",15,15
"c-1347970","Телефони, аксесуари",8,7
"c-1349273","Ноутбуки, планшети",7,0
"c-1349303","Ноутбуки, планшети",8,1
"c-1349593","Побутова техніка",23,5
"c-1350709","Телефони, аксесуари",14,14
"c-1350710","Телефони, аксесуари",14,14
"c-1351068","Побутова техніка",20,19
"c-1351469","Телефони, аксесуари",23,23
"c-1351553","Телефони, аксесуари",20,20
"c-1351554","Телефони, аксесуари",20,20
"c-1351588","Ноутбуки, планшети",11,0
"c-1351589","Ноутбуки, планшети",6,1
"c-1351590","Ноутбуки, планшети",17,9
"c-1352387","Побутова техніка",15,-1
"c-1353189","Побутова техніка",20,19
"c-1353191","Побутова техніка",26,14
"c-1353244","Побутова техніка",26,4
"c-1353248","Побутова техніка",16,13
"c-1353335","Телефони, аксесуари",18,17
"c-1354001","Телефони, аксесуари",9,9
"c-1356067","Ноутбуки, планшети",7,7
"c-1356314","Побутова техніка",25,24
"c-1356698","Телевізори",9,0
"c-1358242","Побутова техніка",32,20
"c-1358502","Побутова техніка",19,7
"c-1358503","Побутова техніка",20,10
"c-1358876","Ноутбуки, планшети",19,19
"c-1358878","Ноутбуки, планшети",10,8
"c-1359299","Побутова техніка",33,28
"c-1359731","Побутова техніка",10,8
"c-1361431","Ноутбуки, планшети",6,0
"c-1363734","Телевізори",16,12
"c-1363735","Телевізори",19,16
"c-1363740","Телевізори",20,16
"c-1363741","Телевізори",19,14
"c-1363744","Телевізори",18,11
"c-1363745","Телевізори",14,11
"c-1363747","Телевізори",20,13
"c-1363748","Телевізори",22,17
"c-1363749","Телевізори",22,15
"c-1363750","Телевізори",21,22
"c-1363776","Побутова техніка",18,18
"c-1365862","Ноутбуки, планшети",6,1
"c-1366451","Ноутбуки, планшети",9,0
"c-1366649","Побутова техніка",10,7
"c-1366880","Телевізори",24,15
"c-1366925","Телевізори",13,12
"c-1367442","Телефони, аксесуари",15,10
"c-1367445","Телефони, аксесуари",15,10
"c-1367446","Телефони, аксесуари",15,10
"c-1367469","Телефони, аксесуари",14,14
"c-1367470","Телефони, аксесуари",14,14
"c-1368612","Побутова техніка",20,16
"c-1369032","Телефони, аксесуари",10,9
"c-1369258","Ноутбуки, планшети",23,25
"c-1369261","Ноутбуки, планшети",18,24
"c-1371658","Телефони, аксесуари",10,10
"c-1371659","Телефони, аксесуари",1,1
"c-1372075","Ноутбуки, планшети",8,0
"c-1372116","Побутова техніка",20,19
"c-1372205","Ноутбуки, планшети",6,0
"c-1372749","Побутова техніка",10,10
"c-1374327","Ноутбуки, планшети",6,1
"c-1374328","Ноутбуки, планшети",6,0
"c-1375984","Побутова техніка",16,13
"c-1377172","Телефони, аксесуари",8,8
"c-1377534","Побутова техніка",17,6
"c-1378589","Телефони, аксесуари",20,18
"c-1378591","Телефони, аксесуари",20,18
"c-1378593","Телефони, аксесуари",18,17
"c-1378594","Телефони, аксесуари",18,17
"c-1378884","Телефони, аксесуари",16,12
"c-1378885","Телефони, аксесуари",16,15
"c-1378891","Телефони, аксесуари",17,16
"c-1379185","Телефони, аксесуари",40,40
"c-1379186","Телефони, аксесуари",40,40
"c-1379187","Телефони, аксесуари",40,40
"c-1380625","Побутова техніка",23,23
"c-1380678","Побутова техніка",21,21
"c-1381882","Телевізори",30,24
"c-1382160","Телевізори",20,18
"c-1384078","Побутова техніка",15,15
"c-1384176","Побутова техніка",23,23
"c-1384255","Телефони, аксесуари",9,9
"c-1384314","Ноутбуки, планшети",7,7
"c-1384332","Телефони, аксесуари",23,20
"c-1384611","Телевізори",24,21
"c-1384939","Побутова техніка",14,6
"c-1384940","Побутова техніка",21,10
"c-1385296","Телефони, аксесуари",14,0
"c-1386752","Телевізори",24,24
"c-1386756","Телевізори",24,20
"c-1386806","Телевізори",25,17
"c-1386807","Телевізори",25,23
"c-1387710","Побутова техніка",25,10
"c-1387870","Телевізори",24,24
"c-1387871","Телевізори",22,22
"c-1387872","Телевізори",25,25
"c-1389544","Телефони, аксесуари",41,41
"c-1390021","Побутова техніка",46,53
"c-1390233","Ноутбуки, планшети",13,6
"c-1390943","Ноутбуки, планшети",7,7
"c-1390944","Ноутбуки, планшети",8,8
"c-907006","Побутова техніка",15,15
"c-910463","Побутова техніка",11,8
"c-928731","Побутова техніка",27,27
"c-931381","Побутова техніка",20,2
"c-961795","Побутова техніка",20,20
"c-964777","Побутова техніка",10,2
"c-967999","Побутова техніка",9,9
"c-968000","Побутова техніка",10,10
"c-983608","Побутова техніка",18,0
"c-983610","Побутова техніка",23,20
"c-986685","Побутова техніка",44,38
"c-986705","Побутова техніка",25,17
"c-986706","Побутова техніка",25,11
"c-987870","Побутова техніка",21,19
"c-988537","Побутова техніка",17,15
"c-990011","Побутова техніка",24,23
"c-990013","Побутова техніка",16,0
"c-990014","Побутова техніка",16,-1
"c-990614","Побутова техніка",10,9
"c-990642","Побутова техніка",7,3
"c-990800","Побутова техніка",9,3
"c-991371","Побутова техніка",7,3
"c-991372","Побутова техніка",7,2
"c-993739","Побутова техніка",18,16
"c-995094","Побутова техніка",19,13
"c-995121","Побутова техніка",15,10
"c-995746","Побутова техніка",15,4
"c-996080","Побутова техніка",7,8
"c-997403","Побутова техніка",16,12
"l-100853","Одяг",88,68
"l-1046573","Одяг",79,24
"l-1072223","Одяг",90,77
"l-1259969","Одяг",57,-13
"l-1259970","Одяг",64,56
"l-1260053","Одяг",66,37
"l-1260054","Одяг",72,28
"l-129449","Одяг",88,68
"l-1305875","Одяг",85,71
"l-1312952","Одяг",90,76
"l-1342026","Сумки",85,16
"l-13425","Одяг",86,68
"l-1395525","Одяг",90,72
"l-1408671","Сумки",72,10
"l-1420655","Одяг",95,66
"l-1420669","Одяг",96,73
"l-1425110","Одяг",90,66
"l-1433323","Одяг",89,60
"l-1443412","Одяг",79,23
"l-1450675","Одяг",90,70
"l-1455027","Одяг",91,72
"l-1460292","Одяг",90,76
"l-1472658","Одяг",92,70
"l-1480740","Одяг",89,52
"l-1480796","Одяг",79,26
"l-1480797","Одяг",79,23
"l-1480799","Одяг",79,23
"l-1480800","Одяг",79,18
"l-1491007","Одяг",83,61
"l-1494004","Одяг",90,77
"l-1519016","Одяг",90,71
"l-1519145","Одяг",93,75
"l-1523165","Одяг",90,74
"l-1526132","Одяг",91,76
"l-1536708","Одяг",90,77
"l-1545235","Одяг",77,-3
"l-1545315","Одяг",77,-3
"l-1548785","Одяг",79,18
"l-1552503","Одяг",90,76
"l-1568836","Одяг",90,70
"l-1582865","Одяг",91,75
"l-1582890","Одяг",86,69
"l-1583340","Сумки",58,15
"l-1602168","Одяг",93,72
"l-1602319","Сумки",84,19
"l-1602920","Одяг",90,64
"l-1604464","Одяг",80,-5
"l-1609998","Одяг",90,73
"l-1611436","Сумки",53,5
"l-1613101","Одяг",90,75
"l-1614746","Одяг",92,73
"l-1614754","Одяг",90,71
"l-1616077","Одяг",90,72
"l-1621270","Одяг",93,72
"l-1646436","Одяг",90,76
"l-1646573","Сумки",72,8
"l-1646574","Сумки",72,10
"l-1646577","Сумки",72,9
"l-1655948","Сумки",72,9
"l-1693852","Одяг",50,0
"l-1695562","Одяг",90,76
"l-1706179","Одяг",91,71
"l-1727299","Одяг",81,-1
"l-1728340","Одяг",50,0
"l-1728341","Одяг",50,0
"l-1728425","Одяг",50,0
"l-1728426","Одяг",49,-1
"l-1728433","Одяг",50,0
"l-1729225","Одяг",94,72
"l-1734400","Одяг",81,0
"l-1737611","Одяг",81,-1
"l-1745286","Одяг",58,20
"l-1745288","Одяг",55,24
"l-1745327","Одяг",79,23
"l-1746334","Одяг",82,64
"l-1746367","Одяг",86,48
"l-1746403","Одяг",84,62
"l-1746424","Одяг",84,61
"l-1746451","Одяг",78,62
"l-1746789","Одяг",81,0
"l-1747031","Одяг",93,68
"l-1747287","Одяг",94,73
"l-1749162","Одяг",50,0
"l-1751578","Одяг",81,-2
"l-1756527","Одяг",50,0
"l-1756531","Одяг",50,0
"l-1756532","Одяг",50,0
"l-1760015","Одяг",95,70
"l-1762612","Одяг",83,60
"l-1764393","Одяг",66,32
"l-1781274","Сумки",72,10
"l-1781278","Сумки",72,12
"l-1787439","Одяг",81,0
"l-1788531","Одяг",75,18
"l-1790640","Одяг",97,73
"l-1796718","Одяг",50,0
"l-1796719","Одяг",49,-1
"l-1797742","Одяг",92,62
"l-1802295","Одяг",90,79
"l-1813552","Одяг",81,-1
"l-1822740","Одяг",81,0
"l-1822885","Одяг",85,56
"l-1823980","Одяг",90,68
"l-1830625","Сумки",72,10
"l-1832183","Одяг",81,-1
"l-1832205","Одяг",77,0
"l-1833758","Одяг",50,0
"l-1833760","Одяг",50,0
"l-1835204","Одяг",53,9
"l-1838227","Одяг",81,0
"l-1842228","Одяг",77,0
"l-1842230","Одяг",77,0
"l-1842232","Одяг",77,-1
"l-1845093","Одяг",90,76
"l-1850877","Одяг",81,0
"l-1851434","Одяг",93,78
"l-1861183","Одяг",77,0
"l-1861186","Одяг",77,-1
"l-1862056","Одяг",90,78
"l-1869316","Одяг",50,0
"l-1869320","Одяг",49,0
"l-1869456","Одяг",86,34
"l-1869603","Одяг",79,34
"l-1874880","Сумки",72,9
"l-1886697","Одяг",91,72
"l-1886858","Сумки",72,11
"l-1886860","Сумки",72,11
"l-1892164","Одяг",93,71
"l-1896924","Одяг",81,-1
"l-1896930","Одяг",81,-1
"l-1898420","Одяг",86,61
"l-1898421","Одяг",86,66
"l-1899071","Одяг",65,43
"l-1899230","Одяг",69,42
"l-1899231","Одяг",65,42
"l-1899239","Одяг",65,45
"l-1899310","Одяг",65,40
"l-1899406","Одяг",65,44
