"date","bigGat","pinkLine","whiteDashed"
2018-10-23,"Побутова техніка",1.2,1.33
2018-10-29,"Побутова техніка",1.2,1.33
2018-11-12,"Побутова техніка",1.22,1.32
2018-11-18,"Побутова техніка",1.21,1.34
2018-07-29,"Ноутбуки, планшети",1.13,1.23
2018-08-25,"Ноутбуки, планшети",1.14,1.22
2018-09-05,"Ноутбуки, планшети",1.18,1.19
2018-10-06,"Ноутбуки, планшети",1.18,1.22
2018-10-23,"Ноутбуки, планшети",1.18,1.2
2018-10-29,"Ноутбуки, планшети",1.17,1.25
2018-11-12,"Ноутбуки, планшети",1.16,1.27
2018-11-18,"Ноутбуки, планшети",1.16,1.26
2018-07-29,"Телевізори",1.25,1.33
2018-08-05,"Телевізори",1.22,1.33
2018-09-05,"Телевізори",1.26,1.34
2018-10-06,"Телевізори",1.24,1.34
2018-10-23,"Телевізори",1.21,1.31
2018-10-29,"Телевізори",1.2,1.32
2018-11-12,"Телевізори",1.18,1.33
2018-11-18,"Телевізори",1.16,1.33
2018-07-29,"Телефони, аксесуари",1.29,1.52
2018-08-05,"Телефони, аксесуари",1.28,1.43
2018-08-25,"Телефони, аксесуари",1.25,1.44
2018-09-05,"Телефони, аксесуари",1.22,1.42
2018-10-06,"Телефони, аксесуари",1.2,1.38
2018-10-23,"Телефони, аксесуари",1.15,1.31
2018-10-29,"Телефони, аксесуари",1.14,1.23
2018-11-12,"Телефони, аксесуари",1.16,1.33
2018-11-18,"Телефони, аксесуари",1.15,1.32
2018-11-05,"Побутова техніка",1.22,1.39
2018-08-25,"Телевізори",1.25,1.29
2018-08-05,"Ноутбуки, планшети",1.14,1.29
2018-11-22,"Побутова техніка",1,1.23
2018-11-22,"Телефони, аксесуари",1,1.22
2018-11-22,"Телевізори",1,1.25
2018-11-22,"Ноутбуки, планшети",1,1.12
2018-11-23,"Одяг",1,4.86
2018-11-23,"Сумки",1,3.72
2018-11-23,"Побутова техніка",1,1.26
2018-11-23,"Ноутбуки, планшети",1,1.2
2018-11-23,"Телевізори",1,1.3
2018-11-23,"Телефони, аксесуари",1,1.19
